tipo,Nombre_de_la_Serie,valor,categoria
Chihuahua,2013/07,489,estado
Chihuahua,2013/08,557,estado
Chihuahua,2013/09,380,estado
Chihuahua,2013/10,384,estado
Chihuahua,2013/11,480,estado
Chihuahua,2013/12,856,estado
Chihuahua,2014/01,212,estado
Chihuahua,2014/02,498,estado
Chihuahua,2014/03,503,estado
Chihuahua,2014/04,613,estado
Chihuahua,2014/05,650,estado
Chihuahua,2014/06,991,estado
Chihuahua,2014/07,707,estado
Chihuahua,2014/08,775,estado
Chihuahua,2014/09,650,estado
Chihuahua,2014/10,913,estado
Chihuahua,2014/11,906,estado
Chihuahua,2014/12,"1,158",estado
Chihuahua,2015/01,215,estado
Chihuahua,2015/02,779,estado
Chihuahua,2015/03,998,estado
Chihuahua,2015/04,"1,112",estado
Chihuahua,2015/05,768,estado
Chihuahua,2015/06,532,estado
Chihuahua,2015/07,345,estado
Chihuahua,2015/08,410,estado
Chihuahua,2015/09,608,estado
Chihuahua,2015/10,967,estado
Chihuahua,2015/11,421,estado
Chihuahua,2015/12,408,estado
Chihuahua,2016/01,191,estado
Chihuahua,2016/02,572,estado
Chihuahua,2016/03,594,estado
Chihuahua,2016/04,508,estado
Chihuahua,2016/05,506,estado
Chihuahua,2016/06,868,estado
Chihuahua,2016/07,467,estado
Chihuahua,2016/08,556,estado
Chihuahua,2016/09,373,estado
Chihuahua,2016/10,372,estado
Chihuahua,2016/11,351,estado
Chihuahua,2016/12,117,estado
Chihuahua,2017/01,0,estado
Chihuahua,2017/02,375,estado
Chihuahua,2017/03,271,estado
Chihuahua,2017/04,246,estado
Chihuahua,2017/05,347,estado
Chihuahua,2017/06,352,estado
Chihuahua,2017/07,348,estado
Chihuahua,2017/08,273,estado
Chihuahua,2017/09,193,estado
Chihuahua,2017/10,217,estado
Chihuahua,2017/11,298,estado
Chihuahua,2017/12,223,estado
Chihuahua,2018/01,26,estado
Chihuahua,2018/02,84,estado
Chihuahua,2018/03,97,estado
Chihuahua,2018/04,194,estado
Chihuahua,2018/05,209,estado
Chihuahua,2018/06,178,estado
Chihuahua,2018/07,162,estado
Chihuahua,2018/08,151,estado
Chihuahua,2018/09,112,estado
